CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2023-02-11 23:14:08.7267713,C:\Windows\System32\Tasks\Microsoft\Windows\Feedback\Siuf\DmClientOnScenarioDownload,E:\23-0211_1Win\C\Windows\System32\Tasks\Microsoft\Windows\Feedback\Siuf\DmClientOnScenarioDownload,2998,C7CA8CBCFBA7A6D056A80DB1AE9A9F5524B13CEF,False,2023-02-06 03:48:18.4857936,2023-02-06 03:48:18.4857936,2023-02-12 00:05:50.9645529,00:00:00.0630077
2023-02-11 23:14:10.0080021,C:\Windows\System32\Tasks\Microsoft\Windows\Flighting\FeatureConfig\ReconcileFeatures,E:\23-0211_1Win\C\Windows\System32\Tasks\Microsoft\Windows\Flighting\FeatureConfig\ReconcileFeatures,3828,97C6F6B665DC8F557DC1A788F6616D1B0CCD6AD8,False,2023-02-06 03:48:19.2825094,2023-02-06 03:48:19.2825094,2023-02-12 00:05:51.1365844,00:00:00.6097159
2023-02-11 23:14:10.6331107,C:\Windows\System32\Tasks\Microsoft\Windows\Flighting\FeatureConfig\UsageDataFlushing,E:\23-0211_1Win\C\Windows\System32\Tasks\Microsoft\Windows\Flighting\FeatureConfig\UsageDataFlushing,3352,F3381F022488B301A809410E74D15F49D98FC8E4,False,2023-02-06 03:48:18.8457159,2023-02-06 03:48:18.8457159,2023-02-12 00:05:51.1535835,00:00:00.6091060
2023-02-11 23:14:11.2422083,C:\Windows\System32\Tasks\Microsoft\Windows\Flighting\FeatureConfig\UsageDataReporting,E:\23-0211_1Win\C\Windows\System32\Tasks\Microsoft\Windows\Flighting\FeatureConfig\UsageDataReporting,2922,89D2737404425D08F84077018DE1B4DF1E4BB6BB,False,2023-02-06 03:48:18.1267546,2023-02-06 03:48:18.1267546,2023-02-12 00:05:51.1835909,00:00:00.5936034
2023-02-11 23:14:11.3827719,C:\Windows\System32\Tasks\Microsoft\Windows\Flighting\OneSettings\RefreshCache,E:\23-0211_1Win\C\Windows\System32\Tasks\Microsoft\Windows\Flighting\OneSettings\RefreshCache,4482,18A6DF0CD84DB18F196ADBC194AB1E7718417F4F,False,2023-02-06 03:48:18.0807272,2023-02-12 00:03:56.6537068,2023-02-12 00:03:56.6537068,00:00:00.0475013
2023-02-11 23:14:11.5712718,C:\Windows\System32\Tasks\Microsoft\Windows\Management\Autopilot\DetectHardwareChange,E:\23-0211_1Win\C\Windows\System32\Tasks\Microsoft\Windows\Management\Autopilot\DetectHardwareChange,3016,CE9BF6373F478F7D7C8F49D15C6F47A372C32225,False,2023-02-06 03:48:17.5481479,2023-02-06 03:48:17.5481479,2023-02-12 00:05:51.8867136,00:00:00.0628727
2023-02-11 23:14:11.6487810,C:\Windows\System32\Tasks\Microsoft\Windows\Management\Autopilot\RemediateHardwareChange,E:\23-0211_1Win\C\Windows\System32\Tasks\Microsoft\Windows\Management\Autopilot\RemediateHardwareChange,2866,688742064B2BABBD3B79862BDD20DA815E0D17CF,False,2023-02-06 03:48:16.6889953,2023-02-06 03:48:16.6889953,2023-02-12 00:05:51.9177268,00:00:00.0620149
2023-02-11 23:14:11.7893212,C:\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\Cellular,E:\23-0211_1Win\C\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\Cellular,2690,69AADD6EE92F966598E004BD6289BC6C340CC8E9,False,2023-02-06 03:48:19.4234773,2023-02-06 03:48:19.4234773,2023-02-12 00:05:51.9497255,00:00:00.0625093
2023-02-11 23:14:11.8678264,C:\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\Logon,E:\23-0211_1Win\C\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\Logon,2704,25C4EE8F99BE07526986F6DE0A80B62C9DA9491D,False,2023-02-06 03:48:17.1889854,2023-02-06 03:48:17.1889854,2023-02-12 00:05:51.9802370,00:00:00.0624882
2023-02-11 23:14:11.9608361,C:\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\Retry,E:\23-0211_1Win\C\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\Retry,2610,A580C3C3DE31F8B3934A9264FB33402930745F2A,False,2023-02-06 03:48:16.7059990,2023-02-06 03:48:16.7059990,2023-02-12 00:05:52.0117319,00:00:00.0626947
2023-02-11 23:14:12.0393507,C:\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\RunOnReboot,E:\23-0211_1Win\C\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\RunOnReboot,2634,720FC7E0A87881DF270F627F6AF53B3A6732287B,False,2023-02-06 03:48:16.7670392,2023-02-06 03:48:16.7670392,2023-02-12 00:05:52.0427510,00:00:00.0625180
2023-02-11 23:14:12.1798743,C:\Windows\System32\SRU\SRU.chk,E:\23-0211_1Win\C\Windows\System32\SRU\SRU.chk,8192,9026DC44A4EF7FDBEBEE39C78858DB13BC09B88D,False,2023-02-06 03:48:17.6111499,2023-02-12 00:07:01.0272087,2023-02-12 00:07:01.0272087,00:00:00.0470203
2023-02-11 23:14:13.3515816,C:\Windows\System32\SRU\SRU.log,E:\23-0211_1Win\C\Windows\System32\SRU\SRU.log,65536,8A9CDB2B2FFAAB8E64292E744503BD55BEACD609,False,2023-02-06 03:48:17.6111499,2023-02-12 00:07:01.0272087,2023-02-12 00:07:01.0272087,00:00:01.1407002
2023-02-11 23:14:14.5237859,C:\Windows\System32\SRU\SRU0000B.log,E:\23-0211_1Win\C\Windows\System32\SRU\SRU0000B.log,65536,0E6D71B6BB21BD8428A7CA10D336EC1C5EB69923,False,2023-02-06 03:48:17.6111499,2023-02-12 00:05:00.1052240,2023-02-12 00:05:00.1052240,00:00:01.1407018
2023-02-11 23:14:15.1644019,C:\Windows\System32\SRU\SRU0000C.log,E:\23-0211_1Win\C\Windows\System32\SRU\SRU0000C.log,65536,81154327A0B2F4ADE135FD0E2EDFBAE7F27FCB3D,False,2023-02-06 03:48:17.6111499,2023-02-12 00:05:00.1377261,2023-02-12 00:05:00.1377261,00:00:00.6246065
2023-02-11 23:14:15.8515146,C:\Windows\System32\SRU\SRU0000D.log,E:\23-0211_1Win\C\Windows\System32\SRU\SRU0000D.log,65536,2E1D051C77D98BF3259F9CC25798172FB220B3F4,False,2023-02-06 03:48:17.6111499,2023-02-12 00:05:00.1992400,2023-02-12 00:05:00.1992400,00:00:00.6561214
2023-02-11 23:14:15.9610320,C:\Windows\System32\SRU\SRU0000E.log,E:\23-0211_1Win\C\Windows\System32\SRU\SRU0000E.log,65536,ADF50BC72D699CDB397ACB25DCDE8900B8DBA4C9,False,2023-02-06 03:48:17.6111499,2023-02-12 00:05:00.2147366,2023-02-12 00:05:00.2147366,00:00:00.0625031
2023-02-11 23:14:16.0550527,C:\Windows\System32\SRU\SRU0000F.log,E:\23-0211_1Win\C\Windows\System32\SRU\SRU0000F.log,65536,FA67CD0EEA380DE9240816BD7B1077DCD5C021CD,False,2023-02-06 03:48:17.6111499,2023-02-12 00:05:00.3252367,2023-02-12 00:05:00.3252367,00:00:00.0780225
2023-02-11 23:14:16.1485679,C:\Windows\System32\SRU\SRU00010.log,E:\23-0211_1Win\C\Windows\System32\SRU\SRU00010.log,65536,88BB380DC23B298BE516047244E1A82983D9A7BD,False,2023-02-06 03:48:17.6111499,2023-02-12 00:05:00.4492850,2023-02-12 00:05:00.4492850,00:00:00.0775092
2023-02-11 23:14:16.2735853,C:\Windows\System32\SRU\SRU00011.log,E:\23-0211_1Win\C\Windows\System32\SRU\SRU00011.log,65536,EE04A9D8858DD8C026123590D891512234C9B1FA,False,2023-02-06 03:48:17.6111499,2023-02-12 00:05:00.5588018,2023-02-12 00:05:00.5588018,00:00:00.0785240
2023-02-11 23:14:16.3671048,C:\Windows\System32\SRU\SRU00012.log,E:\23-0211_1Win\C\Windows\System32\SRU\SRU00012.log,65536,BD0902475B478BD48E0BF2871A59E3D013FF8818,False,2023-02-06 03:48:17.6111499,2023-02-12 00:05:00.5913291,2023-02-12 00:05:00.5913291,00:00:00.0780158
