[2023-02-11 15:12:52.4764134 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Admin.evtx due to IOException...
[2023-02-11 15:12:52.4919982 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.4919982 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Time-Service%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.6015619 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-UniversalTelemetryClient%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.6015619 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-User Device Registration%4Admin.evtx due to IOException...
[2023-02-11 15:12:52.6015619 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-User Profile Service%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.6015619 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-UserPnp%4ActionCenter.evtx due to IOException...
[2023-02-11 15:12:52.6015619 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-UserPnp%4DeviceInstall.evtx due to IOException...
[2023-02-11 15:12:52.6015619 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-VolumeSnapshot-Driver%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.6015619 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Wcmsvc%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.6015619 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WebAuthN%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.6015619 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WER-PayloadHealth%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.6170611 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Windows Firewall With Advanced Security%4ConnectionSecurity.evtx due to IOException...
[2023-02-11 15:12:52.6170611 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx due to IOException...
[2023-02-11 15:12:52.6170611 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Windows Firewall With Advanced Security%4FirewallDiagnostics.evtx due to IOException...
[2023-02-11 15:12:52.6170611 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WindowsBackup%4ActionCenter.evtx due to IOException...
[2023-02-11 15:12:52.6170611 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WindowsUpdateClient%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.6170611 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WinINet-Config%4ProxyConfigChanged.evtx due to IOException...
[2023-02-11 15:12:52.6170611 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Winlogon%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.6170611 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WinRM%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.6170611 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WMI-Activity%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.6326044 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WorkFolders%4WHC.evtx due to IOException...
[2023-02-11 15:12:52.6326044 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-WPD-ClassInstaller%4Operational.evtx due to IOException...
[2023-02-11 15:12:52.6326044 | INF]   Deferring C:\Windows\System32\winevt\logs\Security.evtx due to IOException...
[2023-02-11 15:12:52.6326044 | INF]   Deferring C:\Windows\System32\winevt\logs\Setup.evtx due to IOException...
[2023-02-11 15:12:52.6326044 | INF]   Deferring C:\Windows\System32\winevt\logs\System.evtx due to IOException...
[2023-02-11 15:12:52.6326044 | INF]   Deferring C:\Windows\System32\winevt\logs\Windows PowerShell.evtx due to IOException...
[2023-02-11 15:12:55.0079811 | INF]   Deferring C:\Windows\System32\WDI\LogFiles\WdiContextLog.etl.003 due to IOException...
[2023-02-11 15:12:56.8828150 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\LwtNetLog.etl due to IOException...
[2023-02-11 15:12:56.8828150 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\Microsoft-Windows-Rdp-Graphics-RdpIdd-Trace.etl due to IOException...
[2023-02-11 15:12:56.8828150 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\NetCore.etl due to IOException...
[2023-02-11 15:12:56.8828150 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\NtfsLog.etl due to IOException...
